,key,count
0,宁静,11
1,人住,11
2,愤青,11
3,永远,484
4,透明,187
5,不会,297
6,用尬,22
7,凑合,22
8,做饭,11
9,友好,11
10,接不上,33
11,goodbye,33
12,一下下,22
13,21,11
14,前景,11
15,壯遊,11
16,手中,11
17,相系,11
18,震住,33
19,想要,308
20,别搞,33
21,陷入,33
22,过犹不及,11
23,不错,187
24,天知道,11
25,出走,11
26,杂糅,11
27,绝然,33
28,时代,176
29,多次,22
30,下线,11
31,更深,33
32,带领,11
33,无人知晓,44
34,冷漠,66
35,隔绝,11
36,眼神,66
37,这种,891
38,框架,44
39,转阴,11
40,使得,33
41,离开,44
42,颇为,11
43,凝聚,44
44,末日,11
45,还有,462
46,超自然,11
47,白眼,66
48,走进,22
49,炫技,11
50,摸不着头脑,11
51,天神,11
52,开起,22
53,年份,11
54,似曾相识,33
55,至今,22
56,不過,11
57,高帆,33
58,永恒,66
59,昙花一现,11
60,断裂,22
61,范畴,11
62,专辑,33
63,强调,44
64,一般,165
65,忐忑,22
66,普遍,11
67,没太大,22
68,back,33
69,诚用,30
70,构造,11
71,背叛,33
72,特有,11
73,算是,44
74,谱写,66
75,只有,374
76,注入,11
77,重重,11
78,過猛,11
79,反正,154
80,戏剧,77
81,从头到尾,77
82,20191102,11
83,痴傻,11
84,大多,11
85,三界,11
86,貌美,22
87,当真,33
88,文化,66
89,不用说,11
90,身上,66
91,之间,154
92,只好,11
93,中看,11
94,东西,319
95,出口,11
96,保护,77
97,年轻一代,11
98,偶尔,11
99,一动,11
100,奇幻,297
101,讲究,11
102,天下,22
103,女神,22
104,就够,33
105,全景,33
106,三流,11
107,乌托邦,33
108,守望者,99
109,回答,33
110,效应,11
111,奢华,11
112,云上,11
113,崩毁,44
114,起身,33
115,绝大多数,33
116,虽说,11
117,完成度,77
118,十佳,11
119,后无来者,11
120,灾难片,77
121,东瀛,33
122,魂火,33
123,悲剧,11
124,不足,66
125,井俊二,44
126,12,22
127,大城市,11
128,力感,11
129,破坏力,11
130,不够,132
131,泪水,33
132,遊走,11
133,原因,176
134,威尼斯,44
135,一帧,33
136,应验,11
137,积雨云,55
138,商业,77
139,......,55
140,年岁,11
141,尝到,66
142,同学,33
143,亲密关系,33
144,这个,1353
145,伦理,44
146,忽悠,11
147,六月,33
148,清澈,11
149,总能,11
150,烏雨,33
151,一草一木,22
152,吐口,11
153,守护,33
154,情愫,55
155,指着,11
156,扭头,11
157,经营,11
158,花火,22
159,弹幕,11
160,两位,11
161,爱人,77
162,落差,44
163,流苏,33
164,一问,11
165,不行,132
166,二字,11
167,要求,77
168,任务,11
169,眼看,11
170,必须,55
171,觉得,1001
172,毅然,33
173,打扰到,11
174,它们,66
175,太迷,22
176,暴露出,33
177,一无所有,11
178,荒谬,66
179,滲透,33
180,radwimps,77
181,好友,33
182,江户,11
183,落雨,44
184,二百年,33
185,取得,33
186,放映,33
187,超现实,44
188,反叛,110
189,破涕为笑,33
190,才能,165
191,拉长,44
192,不易,11
193,前无古人,11
194,十五,33
195,楼顶,33
196,至极,11
197,特摄剧,11
198,给予,33
199,野秀明,33
200,趋向,33
201,晴天,440
202,旅游,66
203,阶段性,11
204,狂奔,66
205,按照,11
206,原本,198
207,撰稿,11
208,赚取,11
209,news,11
210,换成,66
211,呼喊,44
212,微妙,44
213,长达近,33
214,成熟,66
215,应当,33
216,救赎,66
217,智商,44
218,正如,33
219,扭转,33
